Sample,Plate,Outcome,IL-1b,IL-10,IL-6,GM-CSF,IL-5,IFNg,TNFa,IL-2,IL-4,IL-8
STD 8,2,none,274,95.5,158,113,86,99,40,122,152,334
SDIE,2,Non-restrictive,21041,705,55323,322,147.5,103,126.5,128,668,60147
SDIE,2,Non-restrictive,20523.5,761,63845,326,145,106,116,133.5,721,73251
SDIE,2,Non-restrictive,8751,828,40978,245,124,77,75,89.5,448,19525
E380A,2,Non-restrictive,20466,731,78488,308.5,141,94.5,111,120,649,68198
E380A,2,Non-restrictive,6866,1096,29700,202,94,90.5,66,81,372.5,19088
E380A,2,Non-restrictive,19065,982,63512,374,144,99.5,140,116,695,56173
STD 9,2,none,168,75,81,64.5,65,88.5,35,70,77.5,217
STD 9,2,none,172,64,111,70,70,78,37,77.5,84,490
SDIEAL,2,Non-restrictive,23372,755,67762,398,165,111,153,121,728,67876
SDIEAL,2,Non-restrictive,16200,796,46721,338,153,101,109,121,695.5,45618
SDIEAL,2,Non-restrictive,11190,847,43482,284,115,91,90,101,530,38509.5
Isotype IgG1,2,Non-restrictive,10518,1006,56208,207,123,83,81,88,496.5,35879
Isotype IgG1,2,Non-restrictive,7024.5,1059,35558,213,102,96,69,90,506,27242
Isotype IgG1,2,Non-restrictive,15125,1194,60939,264.5,154,95,104,115.5,592,48788
STD 10,2,none,70,57,48,48,58,78,27,58,53,174.5
STD 10,2,none,65,50,51.5,53,65,89,30,53,59,200
no Ab,2,none,25393.5,430,82577,341,153,107.5,144,131,776,73986.5
no Ab,2,none,22327,562,69553,266,135,95.5,102,106.5,614,63374
no Ab,2,none,11401.5,753,37223,221,122,85,82,108.5,465,29700
no Ab,2,none,11630,731,56460,238,127,91,86.5,95.5,575,32847
no Ab,2,none,10884.5,825,39968,262,120.5,93,90,101.5,512,26094
no Ab,2,none,18559.5,819.5,62249,284,133,113,135,146.5,663,53749.5
XXX,2,none,56,55,43,47,61,79,28,53.5,50,169
XXX,2,none,59.5,57,48,40,53,72,35,54.5,48,160
STD 1,2,none,28873.5,43907.5,54806.5,46055,40542,40175,16520,37487,65694,75686
STD 1,2,none,27288.5,49707,51763,48421,40887,52739,19260.5,38337,64488.5,73665
PMA/io 3X,2,none,16019,555.5,57448,237,135,95.5,91,96,590,46158
UNINFECTED,2,none,57,54,62.5,37.5,47.5,88,46,57,48,14232
UNINFECTED,2,none,103.5,55.5,135,47,46,76,37,52,49,14800
UNINFECTED,2,none,128,65,306,51,58,88,42,60,56.5,21753
BLANK,2,none,34,52,37,42,49,74.5,29.5,56.5,42,146
BLANK,2,none,42,51.5,49,45,49,78.5,32.5,51,46.5,182
BLANK,2,none,36,57,38,45.5,48,77,38,44,39,152
